# TR_COL	1
# GENE_COL	1
# EXP	Astrocyte	2
# EXP	Neuron	6
# EXP	OPC	8
# EXP	NFO	7
# EXP	MO	5
# EXP	Microglia	4
# EXP	Endothelial	3
# END
2610005L07Rik	6.3	4.4	4	3.2	0.7	0.6	3.4
2610015P09Rik	2.6	0.7	0.9	0.9	0.5	0.3	0.8
2610017I09Rik	42.2	14.2	26.8	7.1	11.8	4.5	0.6
2610018G03Rik	0.2	3.4	0.2	0.1	0.1	0.3	0.1
2610019F03Rik	1.5	1.9	1.6	0.9	0.8	0.2	125.3
2610020H08Rik	3	0.6	2.8	0.7	0.3	0.6	3.1
2610024G14Rik	5.7	9.5	10.6	11.2	6.4	3.5	4.7
2610027L16Rik	4.9	3.2	5.3	3.8	2.7	6.7	3.2
2610029G23Rik	3.2	2.8	4.5	3.6	2.5	2.7	5.2
2610029I01Rik	1.7	2.3	5.6	4.7	2.8	0.8	2.6
2610034B18Rik	5.3	2.1	9	6.1	4.6	0.4	5.6
2610034M16Rik	4	0.2	0.4	0.1	0.2	0.1	0.1
2610035D17Rik	6.6	3.1	22.1	31.4	8.8	1.1	0.2
2610039C10Rik	2.8	3.9	6.4	2.2	1.3	4.1	11.6
2610044O15Rik	2.3	1	1.8	0.6	0.2	0.4	0.7
2610100L16Rik	5.6	2.9	4.1	0.5	0.3	0.3	0.1
2610101N10Rik	12.6	9.3	8.9	5	1.3	2.1	7.2
2610109H07Rik	1.1	12.8	3.2	0.4	0.1	0.1	0.1
2610203C20Rik	23.5	17.9	4.9	1.6	0.9	0.1	0.3
2610203C22Rik	1.3	0.1	0.2	0.1	0.1	2.1	1.6
2610301B20Rik	14.7	6.2	11.7	16.4	8.3	2.5	10
2610301G19Rik	16	19.3	16	11	6.7	6.1	7.5
2610305D13Rik	0.4	0.1	0.1	0.1	0.1	0.1	4.3
2610306M01Rik	2.7	2.3	4.8	4.1	4.5	1.6	3.4
2610507B11Rik	46	16.6	41.8	29.4	25.4	18	21.2
2610507I01Rik	0.4	0.1	0.1	0.1	0.1	0.1	0.1
2610524H06Rik	1.2	3.4	3	1.7	1.5	0.3	2.8
2610528A11Rik	0.1	0.3	0.9	0.2	0.2	14.3	0.1
2610528E23Rik	1.7	3.7	7.1	4.7	1.5	2	4.6
2700007P21Rik	5.8	4.9	6.2	3.2	1.6	0.9	2.5
2700023E23Rik	2.7	1.9	3.4	2.1	0.6	0.6	0.7
2700029M09Rik	14.5	15.7	19.5	11	7.6	8.4	11.8
2700046A07Rik	0.9	0.1	0.2	0.5	2.4	0.1	0.5
2700049A03Rik	2.1	1.9	2.1	0.9	0.3	0.3	1.2
2700050L05Rik	6.4	3.6	4	2.9	0.7	1	2.5
2700060E02Rik	4.5	6.5	7.6	7.8	8.3	8	23.8
2700078E11Rik	7.1	14.3	10.7	10.2	4.9	7.5	18.3
2700078K21Rik	7.6	7.2	9.2	7.8	7.5	12.5	25.3
2700081O15Rik	13.6	25.4	12.8	8.4	2.2	7.8	8.9
2700089E24Rik	19.6	17.7	27.3	24	19.2	3.8	19.8
2700090O03Rik	0.2	6.7	0.4	0.1	0.2	0.2	0.3
2700094K13Rik	9.7	36.2	42.6	15.1	11.1	20	59.1
2700097O09Rik	8.2	3.2	5.8	5.6	2.3	1.8	3.3
2700099C18Rik	2.7	0.4	2.4	0.3	0.1	0.1	1.3
2810001G20Rik	1.9	5.4	4.8	2.2	0.7	0.5	7
2810002N01Rik	10.4	12	17.4	18	18	8.2	29.5
2810004N23Rik	8.3	4.9	12	12.5	10.2	5.6	7.1
2810006K23Rik	2.1	2	4.4	2.1	1.5	2.6	2.8
2810008D09Rik	21.9	12.5	13.6	12.6	5	4.8	2.5
2810008M24Rik	21.3	5.8	19.4	31.7	25.4	4.4	22.5
2810021B07Rik	2	2.3	3.8	1.9	1.4	1.8	3.5
2810025M15Rik	6	8.6	15	8.7	13.6	27.3	49.1
2810030E01Rik	6.1	1.8	1.3	0.5	0.2	0.1	0.6
2810046L04Rik	10.7	7.6	9.4	7.1	1.4	3.9	5.1
2810055F11Rik	3.2	1.4	1.9	0.6	0.1	0.5	5.6
2810055G20Rik	4.3	0.5	0.4	0.1	0.1	0.2	0.1
