	cherry1	cherry2	gallium1	gallium2
Mca00726	6	8	6	16
Mca00727	945	1395	2099	2925
Mca00728	225	284	237	376
Mca00729	1473	2105	1582	1592
Mca00730	495	760	1348	4241
Mca00731	90	130	304	591
Mca00732	1083	1493	1191	1430
Mca00733	70	100	124	146
Mca00734	2395	2799	3713	5898
Mca00735	565	742	966	1383
Mca00736	238	299	297	381
Mca00737	813	1171	1101	1234
Mca00738	768	1137	1509	1806
Mca00739	0	0	0	4
Mca00740	637	884	1275	1761
Mca00741	2	10	27	29
Mca00742	0	1	1	2
Mca00743	0	1	1	0
Mca00744	4	7	8	15
Mca00745	0	2	0	6
Mca00746	0	0	0	0
Mca00747	0	0	0	0
Mca00748	357	557	365	462
Mca00749	5	2	5	4
Mca00750	7	3	8	5
Mca00751	72	114	143	142
Mca00752	4	3	6	9
Mca00753	146	340	318	416
Mca00754	0	5	1	0
Mca00755	0	5	4	0
Mca00756	4	7	2	3
Mca00757	0	0	0	0
Mca00758	0	0	1	2
Mca00759	0	0	19	3
Mca00760	3	2	16	8
Mca00761	0	0	0	0
Mca00762	2	0	3	4
Mca00763	4	4	4	2
Mca00764	0	0	0	0
Mca00765	3494	5084	5359	6218
Mca00766	10	15	6	10
Mca00767	1909	2332	1125	1237
Mca00768	86	199	159	178
Mca00769	3590	4595	9224	10835
Mca00770	220	298	193	232
Mca00771	18	28	46	38
Mca00772	15	12	10	11
Mca00773	580	763	1023	1114
Mca00774	0	0	4	4
Mca00775	4	2	23	26
Mca00776	4	20	30	91
Mca00777	2	0	0	2
Mca00778	0	0	0	2
Mca00779	0	0	0	0
Mca00780	0	0	0	0
Mca00781	45	64	217	282
Mca00782	16	32	84	162
Mca00783	841	1287	1512	1965
Mca00784	689	865	1100	1480
Mca00785	1695	2339	1688	1651
Mca00786	0	1	0	0
Mca00787	117	173	186	304
Mca00788	687	941	833	930
Mca00789	1390	2071	3489	4119
Mca00790	71	116	181	250
Mca00791	11	19	41	38
Mca00792	2897	3768	3073	3746
Mca00793	1824	2541	1847	2357
Mca00794	1	2	1	2
Mca00795	1	0	1	0
Mca00796	1	0	1	0
Mca00797	173	308	292	266
Mca00798	2	7	6	7
Mca00799	0	5	0	0
Mca00800	1958	2578	1543	1713
Mca00801	18718	19380	35678	28780
Mca00802	1736	2116	2585	3377
Mca00803	0	0	0	0
Mca00804	0	0	0	0
Mca00805	2	2	4	0
Mca00806	0	0	0	0
Mca00807	0	0	0	0
Mca00808	0	0	0	0
Mca00809	0	0	0	0
Mca00810	12	26	35	50
Mca00811	54	83	111	174
Mca00812	296	507	665	993
Mca00813	175	214	101	121
Mca00814	530	742	432	510
Mca00815	1715	2495	4206	4322
Mca00816	5	0	4	6
Mca00817	4710	7850	5164	4540
Mca00818	3877	4838	2702	3842
Mca00819	0	0	1	4
Mca00820	0	0	2	4
Mca00821	1323	1569	1273	1362
Mca00822	23979	27941	20095	26617
Mca00823	43	63	66	71
Mca00824	732	915	1062	1276
Mca00825	14	12	26	55
Mca00826	0	0	0	0
Mca00827	0	0	1	2
Mca00828	18	26	17	19
Mca00829	19	26	22	26
Mca00830	203	274	212	262
Mca00831	363	405	468	607
Mca00832	415	495	913	1528
Mca00833	24459	27815	39897	46277
Mca00834	1552	1796	1145	597
Mca00835	0	0	0	0
Mca00836	0	0	0	0
Mca00837	36	56	92	178
Mca00838	1710	2232	1533	1393
Mca00839	285	498	442	605
Mca00840	2	3	2	5
Mca00841	23	92	61	72
Mca00842	169	232	308	469
Mca00843	520	613	728	790
Mca00844	0	0	0	2
Mca00845	0	1	0	2
Mca00846	0	2	0	4
Mca00847	1	0	0	2
Mca00848	991	1387	961	1277
Mca00849	82	120	189	251
Mca00850	0	1	0	0
Mca00851	2	1	0	0
Mca00852	15	12	6	26
Mca00853	589	755	539	605
Mca00854	73	122	100	101
Mca00855	27	41	42	35
Mca00856	204	301	274	281
Mca00857	1612	2071	1861	2562
Mca00858	36	49	60	70
Mca00859	12833	18158	12518	11387
Mca00860	45	87	85	146
Mca00861	48	49	54	80
Mca00862	4	3	2	2
Mca00863	13	42	51	31
Mca00864	17	22	24	19
Mca00865	5	1	3	6
Mca00866	0	0	0	0
Mca00867	2	0	0	0
Mca00868	531	798	1075	1149
Mca00869	2	14	9	12
Mca00870	8	12	9	11
Mca00871	4091	5466	3088	3452
Mca00872	1024	1302	839	725
Mca00873	241	397	874	1092
Mca00874	0	0	1	1
Mca00875	4038	6478	5550	6383
Mca00876	2386	2959	2660	2842
Mca00877	0	0	0	0
Mca00878	0	0	0	0
Mca00879	0	0	0	0
Mca00880	0	2	6	3
Mca00881	0	6	9	7
Mca00882	0	3	1	0
Mca00883	0	2	5	4
Mca00884	71	144	142	162
Mca00885	6	5	8	13
Mca00886	6	5	10	13
Mca00887	9	8	2	14
Mca00888	9	8	2	14
Mca00889	27	33	36	73
Mca00890	1	0	3	5
Mca00891	14	22	34	35
Mca00892	2	4	0	4
Mca00893	2	4	0	4
Mca00894	2	4	0	4
Mca00895	6	11	5	9
Mca00896	0	0	0	1
Mca00897	1823	2452	1858	2288
Mca00898	389	616	860	1046
Mca00899	1631	2563	1811	2002
Mca00900	1071	1298	1500	2081
Mca00901	10	17	41	37
Mca00902	34	54	51	68
Mca00903	429	594	518	608
Mca00904	4	9	7	27
Mca00905	5	5	8	16
Mca00906	2	8	8	13
Mca00907	1	8	13	5
